name,merchant_abn,Description,Earnings_Class,BNPL_Fee
Tortor Corp.,11975295389,art dealer gallery,c,2.79
Sed Molestie Sed Institute,11981237946,digital good book movie music,a,6.43
In Lobortis Company,12014115545,gift card novelty souvenir shop,a,6.35
Tincidunt Aliquam Arcu Corp.,12031655138,gift card novelty souvenir shop,a,6.96
Pede Suspendisse Corp.,12034469787,shoe shop,a,5.83
Consequat LLP,12037481016,optician optical good eyeglass,a,5.99
Donec Nibh LLP,12042198256,computer programming data processing integrated system design service,a,6.45
Tincidunt Tempus Incorporated,12103450178,equipment tool furniture appliance rent al leasing,b,3.17
Et Eros Limited,12133839110,tent awning shop,a,6.69
Eu Ultrices Ltd,12161076724,telecom,b,4.7
Interdum Sed Foundation,12171241826,computer computer peripheral equipment software,b,4.13
Quam Quis Diam Foundation,12173100693,gift card novelty souvenir shop,a,5.65
Integer In Ltd,12182018430,telecom,b,3.27
Risus Consulting,12183270048,cable satellite pay television radio service,c,2.46
Aliquam Ornare Libero LLP,12185659961,music shop musical instrument piano sheet music,b,4.55
Nullam Ut Industries,12208064492,hobby toy game shop,a,6.95
Velit Corp.,12219088747,gift card novelty souvenir shop,b,3.22
Ut Ipsum Corp.,12240378188,jewelry watch clock silverware shop,b,4.35
Montes Nascetur Ridiculus Industries,12296390138,florist supply nursery stock flower,c,2.72
Quam Curabitur Company,12353567572,cable satellite pay television radio service,c,2.35
Posuere Enim Incorporated,12374632228,hobby toy game shop,c,2.88
Neque Morbi Foundation,12380299397,artist supply craft shop,b,3.22
Luctus Sit Corporation,12395011633,gift card novelty souvenir shop,a,6.01
Porttitor Scelerisque Neque Limited,12404803031,hobby toy game shop,b,3.5
Diam Proin Industries,12426913844,hobby toy game shop,b,4.0
Feugiat Non Associates,12434006854,stationery office supply printing writing paper,a,5.66
At Arcu Industries,12438697459,watch clock jewelry repair shop,b,4.48
Egestas A Scelerisque Limited,12476477880,book periodical newspaper,b,3.73
Sed PC,12483082042,optician optical good eyeglass,b,5.0
Velit Quisque LLP,12497320096,watch clock jewelry repair shop,a,6.3
Et Lacinia Industries,12513701055,book periodical newspaper,a,6.01
Mollis Corp.,12516851436,watch clock jewelry repair shop,a,6.71
Ut Aliquam Corp.,12543580354,shoe shop,b,3.78
Eros Corporation,12578813079,cable satellite pay television radio service,a,6.29
Maecenas Mi Felis Limited,12710873213,health beauty spa,b,5.04
Senectus Foundation,12711807314,health beauty spa,c,1.5
Tincidunt Aliquam Limited,12741443840,equipment tool furniture appliance rent al leasing,a,5.55
At Pretium Corp.,12771097467,motor vehicle supply new part,a,6.95
Purus Inc.,12840456630,book periodical newspaper,a,6.32
Nec Enim Company,12847992240,computer programming data processing integrated system design service,a,5.9
Vestibulum Ut Eros Corporation,12870663624,gift card novelty souvenir shop,a,6.78
In Molestie Limited,12888399565,bicycle shop sale service,b,4.25
Consectetuer Euismod Inc.,12899341959,bicycle shop sale service,b,3.81
Amet Orci Industries,12927607277,tent awning shop,d,0.83
Nunc Risus Company,12959550150,book periodical newspaper,b,3.35
Nibh Lacinia Foundation,12983555508,jewelry watch clock silverware shop,b,5.09
Sit Amet Ltd,13041890826,music shop musical instrument piano sheet music,b,4.33
Risus Limited,13061606045,artist supply craft shop,c,3.09
Ac Orci Industries,13066244467,stationery office supply printing writing paper,a,5.69
Felis Eget Industries,13067850740,lawn garden supply outlet including nursery,a,5.52
Enim Diam Vel Industries,13086571368,computer programming data processing integrated system design service,c,1.88
Dis Parturient Corporation,13093581573,gift card novelty souvenir shop,e,0.24
Litora Torquent Limited,13103397121,watch clock jewelry repair shop,b,3.79
Sem Vitae PC,13106608471,health beauty spa,a,6.7
Luctus Limited,13108046922,florist supply nursery stock flower,b,3.76
Placerat Cras Incorporated,13118172970,gift card novelty souvenir shop,b,4.57
Sem Egestas Blandit Limited,13120157976,antique shop sale repair restoration service,a,6.83
Pede Nec Incorporated,13136513766,digital good book movie music,b,3.2
Metus LLC,13159730941,artist supply craft shop,a,5.88
Convallis Erat Limited,13248824465,furniture home furnishing equipment shop manufacturer except appliance,b,4.99
In Aliquet Inc.,13255205539,shoe shop,a,6.26
Leo In Incorporated,13272374672,digital good book movie music,a,6.21
Purus Gravida Sagittis Inc.,13285958344,gift card novelty souvenir shop,a,5.65
Eget Foundation,13290952071,optician optical good eyeglass,a,6.53
Adipiscing Mauris Associates,13297955415,florist supply nursery stock flower,a,6.53
Sed Sem Egestas Institute,13376463476,digital good book movie music,a,6.99
Fames Inc.,13401263605,florist supply nursery stock flower,c,1.89
Magna Nec Institute,13447011295,furniture home furnishing equipment shop manufacturer except appliance,b,4.33
Amet Risus Foundation,13447019122,computer computer peripheral equipment software,b,3.5
Dapibus Id Blandit Institute,13461552885,stationery office supply printing writing paper,a,5.68
Duis LLP,13467303030,tent awning shop,a,5.51
Tempor Lorem Eget Incorporated,13473158710,book periodical newspaper,a,6.95
Magna Praesent PC,13514558491,motor vehicle supply new part,a,6.78
Ipsum LLP,13555086357,furniture home furnishing equipment shop manufacturer except appliance,b,4.92
Malesuada LLP,13565102775,gift card novelty souvenir shop,c,2.31
Dapibus Institute,13571059405,bicycle shop sale service,b,3.72
Odio Phasellus Associates,13606543798,health beauty spa,b,4.68
Quisque Tincidunt Pede Limited,13611382586,computer programming data processing integrated system design service,a,6.34
Eu Eleifend Incorporated,13631004035,music shop musical instrument piano sheet music,b,3.54
Ac Mattis Limited,13663374533,watch clock jewelry repair shop,a,5.87
Fermentum Vel Mauris Institute,13747603419,equipment tool furniture appliance rent al leasing,c,1.86
Suspendisse Institute,13770392625,book periodical newspaper,a,6.17
Lorem Auctor LLC,13803154777,music shop musical instrument piano sheet music,c,2.28
Eget Massa Associates,13812221471,book periodical newspaper,a,5.72
Pellentesque Habitant Morbi Associates,13822969155,furniture home furnishing equipment shop manufacturer except appliance,a,6.58
Egestas Limited,13823979247,hobby toy game shop,a,6.6
Neque Sed PC,13830448327,digital good book movie music,a,5.62
Sit Amet Consectetuer PC,13839274306,computer computer peripheral equipment software,a,6.0
Pharetra Institute,13900607417,music shop musical instrument piano sheet music,a,6.69
Mollis Nec Cursus LLP,13902377680,computer computer peripheral equipment software,a,5.7
Leo Vivamus Nibh Associates,13917288638,artist supply craft shop,c,1.79
Amet Massa Corporation,13942467372,florist supply nursery stock flower,b,4.15
Nibh Donec Est Associates,13945345356,furniture home furnishing equipment shop manufacturer except appliance,a,5.77
Nulla In Inc.,13986396343,computer computer peripheral equipment software,a,6.76
Dapibus Gravida Limited,14004773634,antique shop sale repair restoration service,a,5.95
Morbi Tristique Senectus Limited,14040735315,hobby toy game shop,c,2.3
Ac PC,14042321810,computer programming data processing integrated system design service,b,4.42
Vel Mauris Integer Limited,14058755389,stationery office supply printing writing paper,a,6.62
Velit Pellentesque Associates,14081759429,book periodical newspaper,b,4.71
Donec Institute,14089706307,computer programming data processing integrated system design service,b,3.33
Arcu Sed Inc.,14145464079,book periodical newspaper,b,4.71
Dictum Magna Ltd,14148282104,artist supply craft shop,a,6.12
Mauris Elit Foundation,14246432250,artist supply craft shop,a,6.61
Etiam LLP,14278929774,artist supply craft shop,a,6.25
Nec Ltd,14314268730,artist supply craft shop,c,2.04
Vitae Orci Institute,14315147591,equipment tool furniture appliance rent al leasing,a,6.51
Sed Dolor Inc.,14316652139,stationery office supply printing writing paper,a,6.54
Euismod Est Associates,14336275166,tent awning shop,d,0.67
Bibendum Sed Est Foundation,14420598156,tent awning shop,b,3.88
Magna A Neque LLC,14430838529,cable satellite pay television radio service,c,2.03
Purus Ac Incorporated,14443753481,tent awning shop,a,6.44
Eu Augue Corporation,14480530534,artist supply craft shop,a,5.53
Praesent Eu Associates,14492521225,tent awning shop,c,2.5
Nonummy Ipsum Non Inc.,14522297874,book periodical newspaper,b,3.13
Duis At Inc.,14530561097,jewelry watch clock silverware shop,c,1.69
Commodo Auctor Ltd,14555045817,stationery office supply printing writing paper,b,4.11
Convallis Ligula Donec Inc.,14559784311,watch clock jewelry repair shop,c,2.26
Lacus Etiam Inc.,14570580767,artist supply craft shop,c,2.8
Elit Elit Institute,14583462783,health beauty spa,a,5.81
Cursus Vestibulum LLP,14602793938,florist supply nursery stock flower,b,3.87
Fringilla Porttitor Vulputate PC,14616123867,antique shop sale repair restoration service,a,5.64
Dictum Proin PC,14626521979,art dealer gallery,c,2.81
Aliquet Molestie Tellus Company,14639241847,computer computer peripheral equipment software,c,2.27
Auctor Mauris Incorporated,14639489823,furniture home furnishing equipment shop manufacturer except appliance,a,6.36
Elementum Dui Associates,14666015798,music shop musical instrument piano sheet music,a,6.98
Sollicitudin Adipiscing LLC,14675858680,stationery office supply printing writing paper,b,3.83
Dolor Nonummy Ac Corporation,14762929642,furniture home furnishing equipment shop manufacturer except appliance,c,2.77
In Tincidunt Congue Institute,14796275705,florist supply nursery stock flower,b,4.41
Sem Consequat Consulting,14804580099,cable satellite pay television radio service,a,6.17
Id Mollis PC,14809247463,music shop musical instrument piano sheet music,a,6.22
Vehicula Pellentesque PC,14820207872,health beauty spa,c,1.51
Ultrices Limited,14878918457,digital good book movie music,a,5.87
Nunc Ac LLP,14939466370,optician optical good eyeglass,a,6.31
A Associates,14955471775,optician optical good eyeglass,b,4.95
Lacinia At Inc.,14961279222,antique shop sale repair restoration service,b,3.31
Augue Ac Ipsum Associates,14965232967,music shop musical instrument piano sheet music,a,5.87
Elit Erat Ltd,15010840269,hobby toy game shop,a,6.79
Odio Incorporated,15043504837,jewelry watch clock silverware shop,b,4.62
Tempus Scelerisque Lorem Incorporated,15061716544,digital good book movie music,a,5.73
Parturient Institute,15069598461,gift card novelty souvenir shop,b,4.07
Vulputate Mauris Inc.,15070005651,shoe shop,c,2.07
Dignissim Tempor Arcu Ltd,15073534664,tent awning shop,a,5.58
Arcu Curabitur Limited,15093767253,digital good book movie music,d,1.17
In Consectetuer Ltd,15115332331,florist supply nursery stock flower,a,5.64
Integer LLP,15130143460,computer computer peripheral equipment software,b,3.13
Eu Dui Ltd,15135045968,lawn garden supply outlet including nursery,a,6.52
Tempus Non Lacinia Inc.,15157368385,artist supply craft shop,b,3.98
Nascetur Ridiculus LLC,15253672771,gift card novelty souvenir shop,b,3.26
Nisi Limited,15269431008,gift card novelty souvenir shop,a,6.48
Ipsum Sodales Purus Company,15293888435,antique shop sale repair restoration service,b,3.16
Ornare Lectus Corp.,15297597516,hobby toy game shop,c,1.76
Porttitor Eros Ltd,15299889494,cable satellite pay television radio service,b,5.01
Facilisis Suspendisse PC,15302620892,book periodical newspaper,a,6.51
Metus Urna Convallis Ltd,15332026424,motor vehicle supply new part,a,6.57
Eget Corp.,15347709593,music shop musical instrument piano sheet music,b,4.86
Semper Pretium PC,15353137412,shoe shop,b,3.68
Ac Urna Ut PC,15359085759,shoe shop,b,4.77
Id Nunc Corporation,15367144876,health beauty spa,a,5.95
Euismod Corporation,15422452671,hobby toy game shop,b,5.01
Lectus A Corp.,15441635442,computer programming data processing integrated system design service,b,4.64
Pede Industries,15446964877,watch clock jewelry repair shop,b,3.54
Gravida Praesent LLP,15457638036,telecom,a,6.97
In Mi PC,15489539819,bicycle shop sale service,a,5.69
Et Euismod Et Associates,15514494276,computer computer peripheral equipment software,a,5.96
Laoreet Libero LLC,15527324674,hobby toy game shop,d,0.92
Aliquam Eu LLP,15531408565,watch clock jewelry repair shop,a,6.94
Proin Company,15544195408,stationery office supply printing writing paper,a,6.09
Commodo Associates,15549624934,optician optical good eyeglass,c,2.76
Morbi Accumsan Laoreet Industries,15560455575,digital good book movie music,b,4.08
Euismod Ac Corporation,15577036924,gift card novelty souvenir shop,b,3.57
Consectetuer Cursus Company,15582356843,music shop musical instrument piano sheet music,b,4.17
Eu Odio Phasellus Corp.,15582655078,gift card novelty souvenir shop,a,6.77
Congue Corporation,15612785317,furniture home furnishing equipment shop manufacturer except appliance,a,6.99
Ante Industries,15613631617,motor vehicle supply new part,e,0.35
Velit Quisque Industries,15625166573,digital good book movie music,b,4.32
Sed Orci Lobortis Corp.,15686458582,motor vehicle supply new part,b,3.83
Aliquam Ornare Inc.,15700338102,furniture home furnishing equipment shop manufacturer except appliance,a,5.73
Faucibus Ut Nulla Ltd,15704713883,bicycle shop sale service,c,2.66
Rhoncus Foundation,15710208349,motor vehicle supply new part,b,4.32
Integer Foundation,15790540567,computer computer peripheral equipment software,a,5.87
Sollicitudin LLC,15795298692,art dealer gallery,b,3.29
Ullamcorper Eu Euismod Corp.,15870230869,cable satellite pay television radio service,a,6.39
Quam Quis Foundation,15896837295,book periodical newspaper,b,3.86
Adipiscing Elit PC,15903176024,lawn garden supply outlet including nursery,c,2.34
Nullam Nisl Institute,15912561882,shoe shop,b,3.72
Diam Proin Dolor Limited,15937271532,computer programming data processing integrated system design service,a,5.5
Proin Nisl Sem Corp.,15965199256,florist supply nursery stock flower,c,2.23
Magna Nec Quam LLP,15971734188,furniture home furnishing equipment shop manufacturer except appliance,a,6.7
Ut Lacus Nulla Ltd,15998215727,stationery office supply printing writing paper,a,6.91
Suscipit Est Ac Corporation,16002602393,telecom,a,6.68
Dignissim Magna Incorporated,16019856141,artist supply craft shop,b,4.41
Parturient Incorporated,16058191622,furniture home furnishing equipment shop manufacturer except appliance,a,6.42
Arcu Vivamus Incorporated,16096277862,music shop musical instrument piano sheet music,a,5.81
Scelerisque Ltd,16104218122,motor vehicle supply new part,b,4.29
Proin Non Inc.,16119907679,lawn garden supply outlet including nursery,c,2.74
Enim Institute,16143938351,telecom,a,5.63
Aliquet Sem Corp.,16156289887,jewelry watch clock silverware shop,c,3.02
Vehicula Pellentesque LLP,16165222459,computer programming data processing integrated system design service,b,3.99
Neque Sed Dictum Company,16174402479,cable satellite pay television radio service,a,6.12
Odio Tristique Institute,16178821827,equipment tool furniture appliance rent al leasing,b,4.83
Et Magnis Dis Corporation,16199101110,digital good book movie music,a,5.6
In At Pede LLC,16218917521,tent awning shop,b,4.08
In Nec Limited,16242364669,motor vehicle supply new part,b,3.86
Phasellus Foundation,16248082282,health beauty spa,a,6.8
Urna LLP,16254418652,shoe shop,a,5.94
Tempus Non Foundation,16256895427,lawn garden supply outlet including nursery,a,6.6
Vitae PC,16286338734,gift card novelty souvenir shop,c,2.6
A Neque LLC,16288327194,computer computer peripheral equipment software,a,6.92
Id Mollis Limited,16315736437,computer programming data processing integrated system design service,c,2.45
Curabitur LLP,16334864366,motor vehicle supply new part,b,4.79
Et LLC,16361981729,equipment tool furniture appliance rent al leasing,b,4.78
Gravida Mauris PC,16377211887,jewelry watch clock silverware shop,d,1.32
Iaculis Aliquet Institute,16388802220,gift card novelty souvenir shop,a,5.72
Enim Nec Tempus Corporation,16394504716,cable satellite pay television radio service,a,5.72
Et Malesuada Ltd,16404532871,book periodical newspaper,a,5.6
Litora Torquent Corporation,16423528990,motor vehicle supply new part,a,5.54
Aliquam Eros Company,16432242544,hobby toy game shop,b,4.08
In Sodales PC,16452078130,motor vehicle supply new part,c,2.08
Et Malesuada Institute,16492082804,shoe shop,b,3.6
Sociosqu Corporation,16500351705,music shop musical instrument piano sheet music,b,3.67
Pellentesque Massa Limited,16528286991,equipment tool furniture appliance rent al leasing,b,4.46
In LLP,16550028284,furniture home furnishing equipment shop manufacturer except appliance,a,6.52
Non Magna Nam PC,16570599421,digital good book movie music,a,6.74
Laoreet Ipsum Ltd,16587082018,cable satellite pay television radio service,a,6.29
Enim Non Foundation,16629601490,stationery office supply printing writing paper,a,6.81
Magna Associates,16644129035,artist supply craft shop,b,5.03
Risus Donec Limited,16676754730,music shop musical instrument piano sheet music,a,5.7
Duis Elementum Corp.,16765088338,digital good book movie music,c,2.97
Nonummy Corp.,16771252290,motor vehicle supply new part,d,0.89
Elit Pretium Limited,16796167828,artist supply craft shop,c,2.71
Aliquet Diam LLC,16863641025,computer computer peripheral equipment software,b,4.88
Quis Lectus Nullam PC,16903677169,shoe shop,b,4.62
Aliquam LLP,16919425848,music shop musical instrument piano sheet music,a,5.76
Eget Laoreet Inc.,16941018799,stationery office supply printing writing paper,c,1.68
Sodales Elit Erat LLC,16980639748,computer programming data processing integrated system design service,d,1.38
Posuere Cubilia Curae LLP,16993524298,bicycle shop sale service,c,2.25
Et Ltd,17009186054,computer computer peripheral equipment software,a,6.09
Sem Mollis Inc.,17028880379,lawn garden supply outlet including nursery,a,6.26
Imperdiet Ullamcorper Inc.,17034043771,watch clock jewelry repair shop,b,3.64
Sit Amet Consectetuer Ltd,17055065679,computer computer peripheral equipment software,b,3.71
Dolor Sit Limited,17060583346,artist supply craft shop,a,5.73
Duis Corp.,17073441842,telecom,b,4.79
Ultricies Ornare Elit Limited,17107204463,furniture home furnishing equipment shop manufacturer except appliance,c,2.73
Enim Etiam PC,17124978176,tent awning shop,b,4.95
Arcu Vestibulum Corp.,17158952809,hobby toy game shop,a,6.19
Morbi Metus Vivamus Industries,17175760321,hobby toy game shop,a,6.33
Semper Tellus LLP,17186910612,furniture home furnishing equipment shop manufacturer except appliance,b,4.35
Fusce Aliquet Limited,17189523131,stationery office supply printing writing paper,c,1.59
Volutpat Ornare Facilisis Associates,17208085375,art dealer gallery,b,3.21
Erat Foundation,17228439250,equipment tool furniture appliance rent al leasing,a,6.61
Volutpat Inc.,17266923036,equipment tool furniture appliance rent al leasing,a,5.71
Nullam Lobortis Limited,17291470169,stationery office supply printing writing paper,b,3.24
In Faucibus Incorporated,17294075449,cable satellite pay television radio service,d,0.67
Et Rutrum Limited,17308640834,watch clock jewelry repair shop,b,4.21
Eget Metus In Corporation,17324645993,tent awning shop,a,5.73
Et Eros Institute,17335347560,antique shop sale repair restoration service,b,3.35
Nulla Integer Corp.,17386856164,health beauty spa,c,2.49
Vel Convallis Company,17429613585,computer computer peripheral equipment software,c,2.07
Metus Inc.,17431888602,shoe shop,b,4.27
Ac Fermentum Vel LLP,17435313552,stationery office supply printing writing paper,c,2.48
Quam A Company,17465489150,gift card novelty souvenir shop,b,3.79
Condimentum LLP,17469082744,antique shop sale repair restoration service,c,1.86
Sit Institute,17476208631,art dealer gallery,b,4.27
Posuere Cubilia Curae Corporation,17488304283,cable satellite pay television radio service,a,6.18
Nonummy Ultricies Ornare Institute,17496459532,health beauty spa,b,3.13
Libero Nec Limited,17507773571,hobby toy game shop,a,5.89
Urna Convallis Foundation,17523010120,tent awning shop,d,0.79
Tristique Institute,17541067926,book periodical newspaper,a,5.8
Id Incorporated,17559476022,stationery office supply printing writing paper,a,6.54
Per Conubia Corporation,17610103622,lawn garden supply outlet including nursery,a,5.51
Id Magna Limited,17611272180,art dealer gallery,b,4.66
Nec Enim LLP,17614133590,music shop musical instrument piano sheet music,c,2.93
Velit Eu Sem Consulting,17649195875,hobby toy game shop,a,6.74
Semper Incorporated,17663034743,digital good book movie music,b,3.31
Faucibus Morbi Foundation,17678252870,watch clock jewelry repair shop,c,2.07
Ac Risus Associates,17684250719,health beauty spa,b,4.13
Neque In LLC,17701272704,hobby toy game shop,b,3.78
Auctor Quis Corp.,17739089622,cable satellite pay television radio service,b,5.01
Orci PC,17758483290,stationery office supply printing writing paper,c,2.62
Sociosqu Company,17799557745,telecom,b,4.77
Orci Sem LLP,17866919544,music shop musical instrument piano sheet music,e,0.37
Fringilla LLP,17934773261,florist supply nursery stock flower,b,3.8
Curae Industries,17945458645,shoe shop,b,4.21
A Dui Institute,17950989709,health beauty spa,a,5.74
Vitae Posuere Ltd,17965654828,computer programming data processing integrated system design service,b,4.96
Congue A Aliquet Ltd,17978936678,motor vehicle supply new part,a,6.51
Lectus Justo Ltd,18064155652,tent awning shop,b,3.72
Lacus Etiam Institute,18112900644,computer computer peripheral equipment software,b,4.19
Morbi Sit Corporation,18120123446,shoe shop,b,3.79
Elit A PC,18126169589,florist supply nursery stock flower,c,1.62
Ac Arcu Inc.,18135911314,artist supply craft shop,c,1.63
Ligula Nullam Inc.,18142272571,motor vehicle supply new part,b,3.25
Vel Consulting,18146314043,health beauty spa,b,4.41
Nec Tellus Ltd,18158387243,health beauty spa,c,2.03
Varius Et Associates,18180785640,shoe shop,b,3.34
Quam Pellentesque Corporation,18253795725,computer programming data processing integrated system design service,c,1.57
Massa Rutrum LLP,18261886835,antique shop sale repair restoration service,a,6.25
Orci Adipiscing Non Corporation,18293836021,watch clock jewelry repair shop,c,1.98
Sollicitudin Orci Ltd,18303734841,health beauty spa,a,6.61
Mollis Lectus Consulting,18305506006,watch clock jewelry repair shop,a,6.25
Sed Tortor Limited,18306927906,stationery office supply printing writing paper,b,3.69
Nunc Corporation,18310531307,watch clock jewelry repair shop,b,3.68
Lectus Ante Incorporated,18313275661,cable satellite pay television radio service,a,6.69
Sed Nunc LLC,18355044772,tent awning shop,b,4.35
Sagittis Semper Nam Limited,18376556220,hobby toy game shop,d,1.33
Pellentesque Incorporated,18416401655,stationery office supply printing writing paper,a,6.94
Ac Turpis Egestas Corp.,18440845368,digital good book movie music,a,5.77
Pede Ultrices Corp.,18525353549,stationery office supply printing writing paper,b,3.79
Sem Nulla Interdum Corp.,18547244547,watch clock jewelry repair shop,b,4.07
Quis Tristique Ltd,18582096775,hobby toy game shop,b,5.03
Est Vitae Ltd,18600250054,furniture home furnishing equipment shop manufacturer except appliance,a,5.85
Pellentesque A LLP,18645942609,digital good book movie music,b,4.56
Aliquet Sem Ut LLP,18651012250,computer programming data processing integrated system design service,b,4.2
Maecenas Mi LLC,18653260078,book periodical newspaper,b,3.59
Massa Rutrum Industries,18709053174,tent awning shop,b,3.39
Feugiat Non Lobortis Ltd,18714755910,watch clock jewelry repair shop,a,5.61
Amet Ante Vivamus Associates,18716225872,book periodical newspaper,a,6.87
Ut Industries,18737319630,computer computer peripheral equipment software,a,5.7
Dolor Inc.,18814588565,equipment tool furniture appliance rent al leasing,b,4.85
